lower_ci,upper_ci,method,n,iter
1.2413299700376546,3.4941999102284576,robust,10,52
-0.494,1.351,trad,100,52
-1.173201301243096,2.0301402645998476,robust,100,52
0.99,1.402,trad,1000,52
0.8757556364441926,1.5162687465148839,robust,1000,52
-0.151,5.02,trad,10,53
0.21554628275742127,4.653373558318938,robust,10,53
0.256,1.908,trad,100,53
-0.6169780625387056,2.7812430924403033,robust,100,53
0.846,1.269,trad,1000,53
0.6583672504301148,1.4572360046861463,robust,1000,53
-1.303,0.745,trad,10,54
-1.1613669915911031,0.6028565574787731,robust,10,54
0.359,1.595,trad,100,54
0.11449176150220663,1.8398003181793685,robust,100,54
0.707,1.105,trad,1000,54
0.5462554046779837,1.2658250039100445,robust,1000,54
-0.776,2.434,trad,10,55
-0.23207344042631062,1.8898852477313826,robust,10,55
1.238,2.288,trad,100,55
0.8414370561683853,2.684897569105237,robust,100,55
0.824,1.245,trad,1000,55
0.6585354164001573,1.411267649136761,robust,1000,55
-0.268,3.876,trad,10,56
0.32513692127635885,3.2834944919444684,robust,10,56
0.829,1.88,trad,100,56
0.5055828855205557,2.2043381760723033,robust,100,56
0.524,1.097,trad,1000,56
0.10807112910993077,1.5128448105155703,robust,1000,56
0.285,2.909,trad,10,57
0.9115324687891165,2.283245172808099,robust,10,57
-0.041,1.05,trad,100,57
-0.22634417785471472,1.2354775182403945,robust,100,57
0.627,1.003,trad,1000,57
0.4865079758496918,1.1429416520422226,robust,1000,57
0.617,3.212,trad,10,58
0.7023521106986188,3.126231661298619,robust,10,58
0.226,1.504,trad,100,58
-0.5117013619132216,2.2420471585911894,robust,100,58
0.994,1.375,trad,1000,58
0.8350567497198285,1.533749775462841,robust,1000,58
2.416,4.57,trad,10,59
2.567063873189749,4.419411195450514,robust,10,59
0.098,1.495,trad,100,59
-0.5316767024660717,2.124226672546903,robust,100,59
0.639,1.124,trad,1000,59
0.3561057563286063,1.4070714721722068,robust,1000,59
-3.309,2.54,trad,10,60
-2.459264300322289,1.69012400708129,robust,10,60
0.46,1.35,trad,100,60
0.2911918822890103,1.5195410146340729,robust,100,60
0.795,1.244,trad,1000,60
0.6300079949689383,1.4084251006912933,robust,1000,60
0.731,2.568,trad,10,61
0.9337691064567042,2.3647507956180087,robust,10,61
-0.305,0.84,trad,100,61
-0.5488810038805647,1.0836311536508456,robust,100,61
1.133,1.698,trad,1000,61
0.7226166101578172,2.1083744750880697,robust,1000,61
-0.548,3.158,trad,10,62
0.22957637629507532,2.3808426827174385,robust,10,62
-0.185,0.856,trad,100,62
-0.443423096704806,1.1141235366953703,robust,100,62
1.169,1.591,trad,1000,62
0.9654996171152999,1.7941803230469235,robust,1000,62
-0.55,1.975,trad,10,63
0.13617927328854007,1.2886147600928688,robust,10,63
-0.023,1.896,trad,100,63
-0.4069806367601846,2.2802098228916465,robust,100,63
0.48,0.949,trad,1000,63
0.29432099508295856,1.134315432165389,robust,1000,63
-2.28,1.207,trad,10,64
-1.8070911942592707,0.7343159040700398,robust,10,64
0.112,1.365,trad,100,64
-0.19643620098853565,1.6729688512081247,robust,100,64
0.383,0.755,trad,1000,64
0.23948465756359993,0.8990029650731591,robust,1000,64
0.574,4.173,trad,10,65
1.031494285352501,3.7155334708234706,robust,10,65
0.688,1.6,trad,100,65
0.5427817094069664,1.7448556843755476,robust,100,65
0.763,1.235,trad,1000,65
0.5739708851566914,1.424126043295973,robust,1000,65
-3.975,5.901,trad,10,66
-2.2653230728746916,4.191735228244251,robust,10,66
-0.054,0.775,trad,100,66
-0.235485324222644,0.9560212903602854,robust,100,66
0.754,1.239,trad,1000,66
0.5785269792679146,1.4145876831450628,robust,1000,66
-0.688,2.898,trad,10,67
-0.2832152324858186,2.49379573784298,robust,10,67
0.637,2.266,trad,100,67
0.17132577716701958,2.7315923481505684,robust,100,67
0.739,1.242,trad,1000,67
0.49068791308432524,1.4900300541693405,robust,1000,67
5.421,13.21,trad,10,68
5.351936748699183,13.279749086998313,robust,10,68
-0.22,1.008,trad,100,68
-0.7654230065339611,1.5537076961948997,robust,100,68
1.04,1.413,trad,1000,68
0.9253724421429921,1.5280803975218615,robust,1000,68
-1.197,1.673,trad,10,69
-0.7934903463748597,1.26977010817828,robust,10,69
-0.496,0.951,trad,100,69
-0.7288473581438956,1.1842578209638739,robust,100,69
0.994,1.432,trad,1000,69
0.7804546653246937,1.645368485824188,robust,1000,69
0.506,2.017,trad,10,70
0.5907714607763543,1.9324902885683255,robust,10,70
-0.487,0.574,trad,100,70
-0.929708192322346,1.0170757077099997,robust,100,70
0.815,1.202,trad,1000,70
0.6636106454910624,1.353605341789996,robust,1000,70
-1.159,1.759,trad,10,71
-0.7230453184713159,1.3235076482695791,robust,10,71
-0.087,1.25,trad,100,71
-0.32884377809354426,1.4915889460423215,robust,100,71
0.944,1.406,trad,1000,71
0.7564298303357389,1.5936039059428666,robust,1000,71
0.545,2.041,trad,10,72
0.8000962894914494,1.786725915252807,robust,10,72
1.566,2.835,trad,100,72
1.157691867778977,3.2432132425883498,robust,100,72
1.191,1.589,trad,1000,72
1.0280894799818017,1.7509319972573667,robust,1000,72
0.066,5.705,trad,10,73
0.4210570025437441,5.349993472913289,robust,10,73
1.441,2.278,trad,100,73
1.2832122620831017,2.435181361094795,robust,100,73
0.419,0.888,trad,1000,73
0.1891124739727818,1.1182094324803729,robust,1000,73
-1.863,3.239,trad,10,74
-0.5163518482117675,1.8927606261187877,robust,10,74
-0.485,1.065,trad,100,74
-0.9940923476070933,1.5733832399094594,robust,100,74
1.025,1.356,trad,1000,74
0.913855662130107,1.4674105182710258,robust,1000,74
-2.024,1.389,trad,10,75
-1.519377272692429,0.8843725753764407,robust,10,75
-0.145,1.032,trad,100,75
-0.5210067267641257,1.4077840876924275,robust,100,75
0.984,1.365,trad,1000,75
0.8633206380526807,1.4861718874492587,robust,1000,75
-1.925,2.017,trad,10,76
-1.6474304921423593,1.7392904274200625,robust,10,76
0.601,1.914,trad,100,76
0.25178169661273264,2.263640499982203,robust,100,76
0.849,1.318,trad,1000,76
0.6058959866986083,1.5605111643231808,robust,1000,76
1.933,10.914,trad,10,77
1.1786689813522138,11.668871768765344,robust,10,77
0.42,1.799,trad,100,77
0.13004557377509762,2.0887058967550693,robust,100,77
0.679,1.059,trad,1000,77
0.5325518034917731,1.2055133693044162,robust,1000,77
0.623,4.991,trad,10,78
1.0426901880420274,4.571357976579552,robust,10,78
0.597,1.549,trad,100,78
0.29846984204074944,1.8481704002533346,robust,100,78
0.726,1.131,trad,1000,78
0.5871781200527151,1.2702297074948503,robust,1000,78
-1.562,2.592,trad,10,79
-1.5317210939874482,2.561394909881048,robust,10,79
0.971,1.737,trad,100,79
0.7533985631552524,1.9542869575112238,robust,100,79
